gvkey,datadate,indfmt,tic,cusip,conm,caps,capx,capxv,ceq,ci,cibegni,citotal,cogs,cshfd,cstkcv,dlc,ebitda,fiao,fincf,fopox,exchg,cik,cshtr_c,mkvalt,prcc_f,prch_f,prcl_f,state
12379,4/30/2023,INDL,AMWD,30506109,AMERICAN WOODMARK CORP,0,45.38,45.38,873.788,93.87,93.723,93.87,1625.109,16.685,22.257,27.041,229.524,0,-134.093,40.252,14,794619,26880381,840.4002,50.52,60.78,40.7,VA
12383,12/31/2023,INDL,NHYDY,656531605,NORSK HYDRO ASA,2887.877,1344.974,1344.974,9919.058,716.668,276.529,747.339,17427.853,2029.081,0.11,701.185,1666.77,824.853,-660.751,1567.952,19,900268,,,6.735,8.443,5.11,
12384,12/31/2023,INDL,SHEL,780259305,SHELL PLC,1462,22996,22996,186606,19590,19638,19277,238123,3399.9,0.167,9931,62027,-5393,-38238,-4149,11,1306965,1233134748,,65.8,68.74,52.47,
12389,12/31/2023,INDL,HOG,412822108,HARLEY-DAVIDSON INC,1752.435,207.404,207.404,3252.808,732.013,695.046,743.553,3165.094,145.103,0.01,2153.619,1269.576,131.801,-174.646,-190.757,11,793952,399791889,5021.7341,36.84,51.77,25.4302,WI
12392,12/31/2023,INDL,SKYW,830879102,SKYWEST INC,0,316.326,316.326,2113.502,38.469,34.342,38.469,2180.128,44.599,9.106,463.204,487.184,-0.175,-667.813,19.737,14,793733,133322879,2099.745,52.2,53.76,16.145,UT
12395,10/31/2023,INDL,TOL,889478103,TOLL BROTHERS INC,698.548,72.961,72.961,6797.156,1375.363,1372.071,1375.363,7422.662,111.008,0.01,417.651,1842.696,-5.354,-1170.038,97.523,11,794170,394277016,7339.0616,70.71,84.5698,40.57,PA
12407,6/30/2023,INDL,GROW,902952100,U S GLOBAL INVESTORS INC,16.442,0.014,0.014,52.196,0.873,3.149,0.873,11.302,14.639,0.025,0.028,3.772,0,-2.496,2.201,14,754811,7334979,44.572,3.06,4.54,2.41,TX
12407,6/30/2023,FS,GROW,902952100,U S GLOBAL INVESTORS INC,16.442,,,52.196,,,,,,,0.028,,,,,14,754811,7334979,44.572,3.06,4.54,2.41,TX
12421,1/31/2023,INDL,KSPN,485837108,KASPIEN HOLDINGS INC,214.029,0.898,0.898,-1.101,-17.248,-19.044,-17.248,103.838,3.482,0.01,9.507,-14.19,0,10.983,3.232,19,795212,226053494,4.7068,0.948,10.9198,0.4505,WA
12428,12/31/2023,INDL,POR,736508847,PORTLAND GENERAL ELECTRIC CO,0,1358,1377,3319,227,228,227,2069,97.952,17.3,249,854,-14,778,,11,784977,224523230,4384.2744,43.34,51.58,38.01,OR
12441,12/31/2023,INDL,IT,366651107,GARTNER INC,2320.289,103.124,103.124,680.634,907.745,882.466,907.745,1903.24,79.68,0.0005,108.093,1322.542,0,-588.881,221.18,11,749251,119903501,35339.0552,451.11,469.58,292.6,CT
12445,12/31/2023,INDL,WTS,942749102,WATTS WATER TECHNOLOGIES INC,674.3,29.7,29.7,1513.3,268.6,262.1,268.6,1052.1,33.5,0.1,11.5,402.7,0.1,69,20.4,11,795403,29738763,6940.0137,208.34,213.14,142.105,MA
12458,6/30/2023,INDL,PDEX,74265M205,PRO-DEX INC/CO,0,0.974,0.974,31.59,7.074,7.074,7.074,32.481,3.637,1.909,4.243,6.619,0,-2.49,-3.135,14,788920,978104,67.7095,19.1,21.427,14.47,CA
12459,12/31/2023,INDL,NVR,62944T105,NVR INC,2848.528,24.877,24.877,4364.725,1591.611,1591.611,1591.611,7034.282,3.435,0.01,0,1973.029,0,-832.967,283.88,11,906163,5666304,22366.4378,7000.45,7075,4519.05,VA
12471,12/31/2023,INDL,WKC,981475106,WORLD KINECT CORP,109.6,87.6,87.6,1943,65.5,53.7,64.7,46499.8,61.7,0.01,111,392.3,-105.6,-152.3,-164.6,11,789460,140208586,1362.244,22.78,30.645,17.69,FL
12482,9/30/2023,INDL,CLFD,18482P103,CLEARFIELD INC,188.218,8.384,8.384,315.163,33.887,32.533,33.887,177.398,15.013,0.01,12.138,43.33,0,113.416,0.066,14,796505,81461616,437.2083,28.66,134.9,28.21,MN
12485,12/31/2023,INDL,ATUS,02156K103,ALTICE USA INC,187.186,1704.811,1704.811,-422.18,74.387,79.037,48.548,3029.842,455.034,0.01,407.372,3560.964,14.715,-122.591,288.47,11,1702780,1046666103,1481.9903,3.25,5.57,1.745,NY
12540,11/30/2023,INDL,ADBE,00724F101,ADOBE INC,11586,360,360,16518,5436,5428,5436,1868,459.1,0.0001,73,7420,-7,-5182,1783,14,796343,775070482,278009.55,611.01,628.6,318.6,CA
12544,12/31/2023,INDL,JOE,790148100,ST JOE CO,0,139.965,139.965,683.062,73.058,74.052,77.125,259.776,58.324,4.64,36.25,129.509,-1.77,40.761,2.536,11,745308,47575131,3512.827,60.18,65.985,38.35,FL
12544,12/31/2023,FS,JOE,790148100,ST JOE CO,0,,,683.062,,,,,,,36.25,,,,,11,745308,47575131,3512.827,60.18,65.985,38.35,FL
12545,12/31/2023,INDL,HHS,416196202,HARTE HANKS INC,157.889,2.812,2.812,19.857,2.642,-1.57,2.642,157.536,7.456,1,4.815,13.283,-0.045,-3.216,2.349,14,45919,9082726,49.0578,6.79,14.24,5,MA
12555,12/31/2023,INDL,LNT2,461070005,INTERSTATE POWER & LIGHT CO,2887,712,712,3974,366,366,366,1278,,2.5,501,832,87,103,,0,52485,,,,,,IA
12564,12/31/2023,INDL,CX2,186108007,CLEVELAND ELECTRIC ILLUM,0,151,151,1685,27,26,27,917,,18.58,482,251,-1,90,,0,20947,,,,,,OH
12568,9/30/2023,INDL,DJCO,233912104,DAILY JOURNAL CORP,1.755,0.086,0.086,200.469,21.452,21.452,21.452,45.554,1.377,0.01,0.209,6.931,0,-0.153,-20.002,14,783412,634862,404.838,294,315.5,245.535,CA
12573,12/31/2023,INDL,HSTC,4.04E+206,HST GLOBAL INC,5.417,0,0,-0.592,-0.146,-0.146,-0.146,0,5.249,0.001,0.099,-0.141,0,0.022,0,19,797564,286452,3.1888,0.6075,0.6075,0.1,VA
12575,3/31/2023,INDL,CYAN,232437301,CYANOTECH CORP,33.856,1.068,1.068,16.347,-3.44,-3.44,-3.44,14.264,6.244,0.02,5.892,-1.265,0,1.553,0.379,19,768408,5448977,5.5012,0.8771,3.5744,0.82,HI
12578,12/31/2023,INDL,VHI,918905209,VALHI INC,669.5,48.5,48.5,935.8,0,2.9,-13.7,1622.4,28.5,0.01,4.6,31.5,-37,-75.9,8.4,11,59255,4008142,432.915,15.19,26.5999,10.8001,TX
12589,12/31/2023,INDL,EHC,29261A100,ENCOMPASS HEALTH CORP,1787,583.1,583.1,1647.5,463,463,352,3593.8,101.3,0.01,48.9,1005.7,-45.3,-197.2,65.3,11,785161,169597503,6688.8802,66.72,72.0631,51.15,AL
12597,1/31/2023,INDL,LAKE,511795106,LAKELAND INDUSTRIES INC,78.475,1.985,1.985,119.99,-0.32,1.873,-0.32,64.192,7.738,0.01,1.658,9.335,0,-5.876,1.625,14,798081,9852397,106.066,14.48,21.37,11.13,AL
12598,12/31/2023,INDL,PAMT,693149106,PAMT CORP,40.825,34.06,34.06,314.216,18.416,18.416,18.416,716.935,22.197,0.01,57.759,93.872,0,-76.755,2.949,14,798287,5031105,457.5964,20.78,31.3624,15.66,AR
12603,12/31/2023,INDL,CNO,1.26E+107,CNO FINANCIAL GROUP INC,1891.5,0,0,2215.6,657,276.5,657,3305.7,115.124,0.01,0,841.1,415.5,533.5,-410.7,11,1224608,197592111,,27.9,28.39,19.95,IN
12603,12/31/2023,FS,CNO,1.26E+107,CNO FINANCIAL GROUP INC,1891.5,,,2215.6,,,,,,,,,,,,11,1224608,197592111,,27.9,28.39,19.95,IN
12612,12/31/2023,INDL,0191A,240019000,DAYTON POWER & LIGHT INC,977.4,411.1,411.1,979.2,60.3,61.4,60.3,676.4,,0.01,15.2,175.6,259.3,371.3,,0,27430,,,,,,OH
12615,12/31/2023,INDL,MHO,55305B101,M/I HOMES INC,349.907,5.769,5.769,2516.939,465.365,465.365,465.365,3004.795,28.716,0.01,165.844,597,-0.791,-112.237,82.006,11,799292,77477640,3823.8001,137.74,140.7299,46.12,OH
12616,3/31/2023,INDL,WACLY,930004304,WACOAL HOLDINGS CORP,218.366,21.657,21.657,1578.441,31.09,-13.044,30.345,523.459,11.966,7.73,72.674,125.65,-3.062,-169.561,85.897,19,104040,,,93.433,96.029,69.995,
12625,12/31/2023,INDL,MRTN,573075108,MARTEN TRANSPORT LTD,49.789,240.557,240.557,757.386,70.373,70.373,70.373,938.235,81.413,0.01,0.268,193.22,0,-19.225,2.319,14,799167,69157352,1705.9258,20.98,23.38,17.34,WI
12635,12/31/2023,INDL,FI,337738108,FISERV INC,23103,1388,1388,29857,3525,3129,3474,4744,615.9,0.01,873,7800,-726,-4356,391,11,798354,784204860,78906.96,132.84,136.49,98.81,WI
12673,12/31/2023,INDL,BCS,6.74E+207,BARCLAYS PLC,329.914,2188.388,,90699.655,8125.57,6780.437,8044.047,30885.829,3973.75,,84873.294,14677.998,0,-1769.308,17183.562,11,312069,2349214868,,7.88,9.435,6.23,
12673,12/31/2023,FS,BCS,6.74E+207,BARCLAYS PLC,329.914,,,90699.655,8125.57,,,,,,84873.294,,,,,11,312069,2349214868,,7.88,9.435,6.23,
12686,12/31/2023,INDL,JECFF,482072303,JURA ENERGY CORP,0.367,0.264,0.264,3.581,-4.638,-4.638,-4.638,2.937,69.076,0.944,6.618,0.414,-1.734,-3.227,0.472,19,1374415,217,,0.04,0.04,0.04,AB
12689,11/30/2023,INDL,KBH,48666K109,KB HOME,845.693,35.468,35.468,3810.14,592.081,590.177,592.081,4993.862,83.38,1,3.4,778.947,0,-627.493,46.036,11,795266,376266046,3952.6707,52.1,55.37,29.84,CA
12711,9/30/2023,INDL,CVM,150837607,CEL-SCI CORP,499.832,0.362,0.362,13.215,-32.194,-32.194,-32.194,0,44.48,0.01,1.969,-27.518,-0.745,4.694,7.164,12,725363,125779611,59.2775,1.25,3.68,1.08,VA
12713,12/31/2023,INDL,ABEO,00289Y206,ABEONA THERAPEUTICS INC,764.151,0.331,0.331,14.826,-54.125,-54.188,-54.125,49.412,21.38,0.01,0.998,-45.912,-0.15,37.057,15.722,14,318306,41290373,132.8852,5.01,5.4,2.19,OH
12717,10/31/2023,INDL,ANIX,03528H109,ANIXA BIOSCIENCES INC,252.222,0,0,24.337,-9.93,-9.93,-9.811,11.221,30.98,0.01,0.052,-11.011,0,0.366,4.735,14,715446,23131880,98.4182,3.16,6.45,2.8404,CA
12719,12/31/2023,INDL,APYX,03837C106,APYX MEDICAL CORP,81.114,0.533,0.533,26.701,-18.85,-18.85,-18.713,17.898,34.622,0.001,0.367,-19.259,-0.327,32.166,9.897,14,719135,54902464,90.7673,2.62,7.97,1.41,FL
12726,12/31/2023,INDL,UNM,91529Y106,UNUM GROUP,1547.8,134.8,134.8,9651.4,1424.1,1283.8,1424.1,10437,197.602,0.1,64.5,1946.9,73.9,-450.1,-213.5,11,5513,344849001,,45.22,52.15,36.27,TN
12726,12/31/2023,FS,UNM,91529Y106,UNUM GROUP,1547.8,,,9651.4,,,,,,,64.5,,,,,11,5513,344849001,,45.22,52.15,36.27,TN
12731,6/30/2023,INDL,VRTC,923437305,VERITEC INC,18.143,0,0,-8.671,-1.234,-1.234,-1.234,0.211,39.988,0.01,7.892,-0.738,0,0.494,0.495,19,773318,567198,1.0997,0.0275,0.0381,0.018,MN
12743,3/31/2023,INDL,DWWEF,252593801,DIAMOND ESTATES WINES & SPIR,3.526,0.295,0.295,22.29,-8.526,-8.526,-8.526,20.281,27.876,1.465,30.474,-4.135,0,4.543,2.413,19,,2854514,12.6836,0.455,1.4,0.42,ON
12749,12/31/2023,INDL,PEG1,744567009,PUBLIC SERVICE ELEC & GAS CO,2156,2998,2998,17048,1516,1515,1516,4853,,6.73,1203,2954,-17,1233,,0,81033,,,,,,NJ
12756,12/31/2023,INDL,CCEP,G25839104,COCA-COLA EUROPACIFIC PARTNE,305.075,742.792,742.792,8816.235,1506.586,1844.821,1506.586,11920.044,459,0.01,1436.949,3468.574,-454.297,-2013.939,235.439,14,1650107,329515362,30647.0747,66.74,66.98,53.53,
12761,12/31/2023,INDL,STKL,8676EP108,SUNOPTA INC,27.534,46.125,46.125,161.025,-175.664,-175.018,-175.664,512.425,114.226,4.003,57.75,43.159,-5.952,-50.801,14.069,14,351834,263316554,634.2629,5.47,9.725,2.79,MN
12785,12/31/2023,INDL,PPC,72147K108,PILGRIM'S PRIDE CORP,1978.849,543.816,543.816,3331.372,482.282,322.317,481.539,15878.316,237.297,0.01,68.114,971.531,-21.408,116.727,34.208,14,802481,203711253,6549.6114,27.66,27.84,19.96,CO
12807,12/31/2023,INDL,GTII,37955R107,GLOBAL TECH INDS GROUP INC,338.208,0,0,-7.057,-97.883,-97.883,-97.883,0,330.925,0.001,2.496,-67.295,0,2.236,94.232,19,356590,181533202,139.5755,0.3999,2.98,0.365,NY
12818,12/31/2023,INDL,CATX,46489V302,PERSPECTIVE THERAPEUTICS INC,227.337,1.072,1.072,75.179,-46.508,-46.508,-46.508,31.887,267.643,0.001,0.095,-30.453,-0.065,0.785,8.89,12,728387,153273152,113.2876,0.402,0.7298,0.205,WA
12825,9/30/2023,INDL,JJSF,466032109,J & J SNACK FOODS CORP,0,104.737,104.737,911.518,82.453,78.906,82.453,1025.823,19.324,5.926,16.679,174.337,0,-66.845,7.319,14,785956,17952361,3163.6818,163.65,177.71,127.8,NJ
12833,12/31/2023,INDL,DKL,24664T103,DELEK LOGISTICS PARTNERS LP,,96.101,96.101,-161.869,126.236,126.236,126.236,650.023,43.611,,36.697,345.62,-4.468,-139.905,25.339,11,1552797,13759172,1882.6869,43.17,58.81,36.5,TN
12840,12/31/2023,INDL,HTLD,422347104,HEARTLAND EXPRESS INC,4.527,208.596,208.596,865.26,14.775,14.775,14.775,1007.121,79.079,0.01,18.562,200.337,0,-120.69,2.689,14,799233,63193216,1127.0961,14.26,18.1699,11.441,IA
12860,12/31/2023,INDL,LMEFF,519322101,LAURION MINERALS EXPL INC,4.429,0,0,8.872,-3.086,-3.086,-3.086,0,258.112,0.16,0,-3.515,-0.078,2.996,0.167,19,1503768,24731856,125.0894,0.475,0.76,0.32,ON
12874,12/31/2023,INDL,ICAD,44934S206,ICAD INC,306.25,0.922,0.922,33.417,-4.847,-4.847,-4.847,2.447,25.613,0.01,0.188,-7.354,0,2.046,1.954,14,749660,119919209,46.6466,1.77,3.97,1.05,NH
12888,12/31/2023,INDL,SPFF,37950E333,GLOBAL X SUPERINCM PFD ETF,,,,,,,,,,,,,,,,17,,23125858,,9.08,10.48,8.11,NY
12889,12/31/2023,INDL,PFXF,92189F429,VANECK PREF SEC EX FINL ETF,,,,,,,,,,,,,,,,17,,94721172,,17.18,18.61,15.58,NY
12892,12/31/2023,INDL,SUN,86765K109,SUNOCO LP,,215,215,978,394,394,394,21703,85.093,,22,815,-5,-365,131,11,1552275,79945422,5058.5714,59.93,63.957,40.8101,TX
12909,12/31/2023,INDL,MKL,570535104,MARKEL GROUP INC,0,258.619,258.619,14392.037,2390.428,2101.09,2285.344,12585.583,13.378,267.83,76.15,3203.224,-193.573,-999.716,-1414.786,11,1096343,10952034,18646.1268,1419.9,1560,1186.5603,VA
12909,12/31/2023,FS,MKL,570535104,MARKEL GROUP INC,0,,,14392.037,,,,,,,76.15,,,,,11,1096343,10952034,18646.1268,1419.9,1560,1186.5603,VA
12915,12/31/2023,INDL,OSUR,68554V108,ORASURE TECHNOLOGIES INC,529.543,10.303,10.303,430.671,57.149,53.655,57.149,214.423,74.389,0,2.116,67.936,-0.046,-3.023,21.132,14,1116463,153164241,602.9296,8.2,8.43,4.375,PA
12926,12/31/2023,INDL,FRPH,30292L107,FRP HOLDINGS INC,67.655,11.217,11.217,414.52,6.193,4.882,6.613,19.109,9.461,0.1,0,22.397,-3.19,-4.166,1.738,14,844059,3272363,596.3539,62.88,65,52.45,FL
12932,12/31/2023,INDL,DWAS,46138E842,INVESCO DORSEY WRI SM MO ETF,,,,,,,,,,,,,,,,14,,12866079,,83.79,85.795,68.4439,IL
12945,9/30/2023,INDL,PLXS,729132100,PLEXUS CORP,661.27,104.049,104.049,1214.382,150.792,139.094,150.792,3747.179,28.114,0.01,248.568,287.486,0,-92.725,20.721,14,785786,33711402,2553.7887,92.98,115.36,83.84,WI
12956,12/31/2023,INDL,IOR,452926108,INCOME OPPORTUNITY RLTY INVS,61.955,0,0,118.078,7.001,7.001,7.001,0.97,4.163,0.01,0,8.61,0,-0.908,0,12,949961,244875,55.0874,13.4,13.99,10.58,TX
12964,12/31/2023,INDL,CDZI,127537207,CADIZ INC,679.15,5.787,5.787,39.965,-31.446,-31.446,-31.446,2.887,65.656,0.01,0.309,-19.693,-0.627,17.565,10.146,14,727273,78214379,186.7908,2.8,5.8045,2.43,CA
12972,9/30/2023,INDL,IMKTA,457030104,INGLES MARKETS INC  -CL A,0,173.592,173.592,1458.972,211.639,210.812,211.639,4472.667,18.994,0.05,25.757,405.513,0,-34.974,7.877,14,50493,19663786,1430.818,75.33,102.99,73.38,NC
12986,12/31/2023,INDL,KTGDF,50117M106,K2 GOLD CORPORATION,7.397,3.812,3.812,16.469,-1.079,-1.079,-1.079,0,89.866,0.311,0.04,-1.38,-0.251,4.747,0.064,19,1583962,14851401,7.845,0.08,0.23,0.075,BC
12987,12/31/2023,INDL,XWEL,98420U802,XWELL INC,470.737,1.905,1.905,13.002,-29.419,-28.029,-29.131,26.428,4.175,0.01,2.402,-17.23,0.03,0.008,10.239,14,1410428,4113050.7,7.2732,1.74,10.2,1.39,NY
12988,3/31/2023,INDL,JFTH,26140D206,JAPAN FOOD TECH HOLDINGS INC,1.9,0,0,0.502,-0.346,-0.322,-0.346,0,12.854,0.0001,0,-0.325,0.085,0.854,0,19,1857910,8395671.055,3.0492,0.232502,3.78,0.11,
13041,12/31/2023,INDL,SNV,87161C501,SYNOVUS FINANCIAL CORP,3955.819,32.207,,4582.848,867.185,542.141,868.749,1422.782,146.734,1,192.57,1121.698,1858.349,-1132.943,213.974,11,18349,386294034,5523.4433,37.65,44.44,24.4,GA
13041,12/31/2023,FS,SNV,87161C501,SYNOVUS FINANCIAL CORP,3955.819,,,4582.848,867.185,,,,,,192.57,,,,,11,18349,386294034,5523.4433,37.65,44.44,24.4,GA
13071,12/31/2023,INDL,RDNT,750491102,RADNET INC,722.75,176.6,176.6,630.695,38.53,30.337,11.237,1109.821,64.658,0.0001,73.955,220.861,-6.346,195.635,32.127,14,790526,109082914,2362.8301,34.77,37.97,17.82,CA
13089,8/31/2023,INDL,BPAIF,105324107,BRANDPILOT AI INC,2.178,0,0,3.088,-0.08,-0.08,-0.08,0,49.217,0.472,0,-1.535,0,-0.11,1,19,,12769886,1.4765,0.03,0.095,0.025,ON
13092,9/30/2023,INDL,JACK,466367109,JACK IN THE BOX INC,520.076,74.954,74.954,-718.327,133.018,130.826,133.018,1184.17,20.764,0.01,172.482,322.383,0,-207.358,21.69,14,807882,86302276,1362.8991,69.06,99.56,65.715,CA
13125,12/31/2023,INDL,DOC,42250P103,HEALTHPEAK PROPERTIES INC,10405.78,0,0,6350.446,325.994,334.757,297.246,1646.36,547.275,1,7.024,,-52.115,-337.299,-112.915,11,765880,1156895738,,19.8,28.43,15.24,CO
13125,12/31/2023,FS,DOC,42250P103,HEALTHPEAK PROPERTIES INC,10405.78,,,6350.446,,,,,,,7.024,,,,,11,765880,1156895738,,19.8,28.43,15.24,CO
13141,9/30/2023,INDL,GPKUF,38611W308,GRAND PEAK CAPITAL CORP,0,0,0,2.542,-1.508,-1.508,-1.508,0.353,108.558,0.0963,0,0.035,0,-0.002,1.518,19,781885,,,,,,BC
13145,12/31/2023,INDL,ICAGY,459348108,INTL CONSOL AIRLINES GROUP,8588.534,3214.345,3214.345,3616.69,1339.679,2934.692,1339.679,26372.435,2638.288,0.22,2488.133,6183.302,-131.536,-5741.164,106.112,19,1505706,,,3.952,4.403,3.094,
13176,2/28/2023,INDL,SOTK,835483108,SONO-TEK CORP,9.567,0.556,0.556,14.634,0.636,0.636,0.636,6.895,15.769,0.01,0,1.194,0,0,0.251,14,806172,5064612,85.0052,5.3999,8.1,4.01,NY
13184,12/31/2023,INDL,LADX,232828707,LADRX CORP,488.613,0,0,0.107,0.4,0.4,0.4,0,0.488,0.001,0.034,-3.812,-0.25,-0.319,0,19,799698,323602.96,0.6435,1.3,17.70113004,0.6302,CA
13200,10/31/2023,INDL,PLAB,719405102,PHOTRONICS INC,502.01,131.295,131.295,975.008,205.246,199.634,135.207,475.079,61.755,0.01,8.533,333.885,0,-18.493,8.001,14,810136,137850983,1125.6516,18.36,26.98,13.86,CT
13235,12/31/2023,INDL,ICCC,452525306,IMMUCELL CORP,36.357,1.892,1.892,24.993,-5.775,-5.775,-5.775,10.886,7.748,0.1,2.072,-3.031,-0.081,1.751,0.475,14,811641,2830159,39.4526,5.09,7.84,4.26,ME
13239,12/31/2023,INDL,KRMD,759910102,KORU MEDICAL SYSTEMS INC,47.019,0.783,0.783,20.354,-13.741,-13.741,-13.741,11.809,45.601,0.01,0.792,-9.07,0,-0.219,2.748,14,704440,19949548,112.1174,2.455,4.48,2,NJ
13252,9/30/2023,INDL,GLGDF,38045Y102,GOGOLD RESOURCES INC,13.688,14.9,14.9,281.557,-7.213,-7.89,-7.213,34.057,315.279,0.952,0.604,-11.688,0,44.395,14.85,19,1555688,18942893,294.4931,0.902,2.03,0.8833,NS
13289,6/30/2023,INDL,CFNB,130222102,CALIFORNIA FIRST LEASNG CORP,1.694,0,0,219.38,16.862,16.862,16.862,2.052,9.969,0.01,0,,0,-9.362,-0.24,19,803016,110532,139.2381,14.35,17.3,13.35,CA
13312,6/30/2023,INDL,BHP,88606108,BHP GROUP LTD,171,7083,7083,44496,14317,14324,12917,26578,2536.5,1.8707,7173,27633,-1852,-10315,-1004,11,811809,673666913,,59.67,71.52,46.92,
13341,12/31/2023,INDL,PGR,743315103,PROGRESSIVE CORP-OHIO,2013.1,252,252,19783.2,5088.7,3902.4,5088.7,56610.5,587.5,1,0,5471.8,0,78,162.7,11,80661,650788756,93226.584,159.28,165.57,111.41,OH
13341,12/31/2023,FS,PGR,743315103,PROGRESSIVE CORP-OHIO,2013.1,,,19783.2,,,,,,,,,,,,11,80661,650788756,93226.584,159.28,165.57,111.41,OH
13342,12/31/2023,INDL,RLI,749607107,RLI CORP,375.884,5.913,5.913,1413.514,367.384,304.611,367.384,1121.121,46.077,0.01,100,383.501,0,-238.848,-39.84,11,84246,54680135,6075.5968,133.12,149.646,123.045,IL
13342,12/31/2023,FS,RLI,749607107,RLI CORP,362.345,,,1413.514,,,,,,,100,,,,,11,84246,54680135,6075.5968,133.12,149.646,123.045,IL
13353,12/31/2023,INDL,WEC2,976656009,WISCONSIN ELECTRIC POWER CO,2552.4,1094.6,1094.6,5053.1,481.8,481.8,481.8,2520,,10,758.4,1525,803.8,248,,0,107815,,,,,,WI
13354,2/28/2023,INDL,VOXX,91829F104,VOXX INTERNATIONAL CORP,296.577,3.557,3.557,345.877,-32.088,-30.911,-29.753,386.585,24.326,0.01,1.876,-1.324,-0.398,16.409,10.465,14,807707,36025051,267.7935,11.43,11.7499,5.85,FL
13358,6/30/2023,INDL,BNTRF,83298109,BENTON RESOURCES INC,3.459,4.626,4.626,11.519,-2.891,-2.891,-2.891,0,144.968,0.227,0.049,-0.921,-0.084,1.233,2.908,19,1417801,45935931,8.2538,0.055,0.155,0.055,ON
13360,12/31/2023,INDL,STCB,85526F201,STARCO BRANDS INC,75.13,0.036,0.036,17.163,-46.402,-46.402,-46.191,34.616,447.083,0.001,8.395,-12.809,0.095,-0.176,40.432,19,1539850,5959577,80.184,0.164,0.265,0.115,CA
13381,1/31/2023,INDL,DXLG,25065K104,DESTINATION XL GROUP INC,321.516,9.642,9.642,137.228,89.72,89.123,89.72,273.44,66.89,0.01,37.329,73.608,0,-13.734,1.868,14,813298,172671957,446.3737,7.13,7.54,3.27,MA
13400,12/31/2023,INDL,ASM,53906103,AVINO SILVER & GOLD MINS LTD,11.041,8.531,8.531,106.001,0.557,0.542,0.557,33.286,125.347,1.18,1.814,2.849,0,3.488,3.264,12,316888,139377051,67.4461,0.524,1.01,0.4,BC
13421,12/31/2023,INDL,CDNS,127387108,CADENCE DESIGN SYSTEMS INC,3163.672,102.337,102.337,3404.271,1038.027,1041.144,1038.027,311.506,272.748,0.01,390.904,1459.15,0,-803.573,296.768,14,813672,404167579,74004.5632,272.37,279.325,154.88,CA
13427,12/31/2023,INDL,BRK1,08499X009,BERKSHIRE HATHAWAY ENERGY CO,5573,9148,9148,48434,3618,3372,3266,11373,,0,6888,8627,-3749,-1250,-1871,0,1081316,,,,,,IA
13428,12/31/2023,INDL,BRK2,08499W001,MIDAMERICAN FUNDING LLC,,1833,1892,10633,980,980,980,1964,,,539,1429,-2,-6,,0,1098296,,,,,,IA
13431,12/31/2023,INDL,BRY,08579X101,BERRY CORP,819.157,81.071,81.071,757.976,37.4,37.4,37.4,528.035,77.583,0.001,2.944,288.249,-0.665,-64.8,8.254,14,1705873,190435295,531.939,7.03,10.74,6.23,TX
13453,12/31/2023,INDL,OPY,683797104,OPPENHEIMER HOLDINGS INC,31.774,17.056,17.056,789.166,29.77,30.272,29.677,1110.532,11.646,0.001,672.058,138.293,-26.353,-74.761,16.889,11,791963,16042095,425.0588,41.32,49.32,32.8249,NY
13453,12/31/2023,FS,OPY,683797104,OPPENHEIMER HOLDINGS INC,31.774,,,789.166,,,,,,,640.382,,,,,11,791963,16042095,425.0588,41.32,49.32,32.8249,NY
13460,12/31/2023,INDL,PED,70532Y303,PEDEVCO CORP,225.156,34.996,34.996,98.766,0.264,0.264,0.264,9.831,87.032,0.001,0.089,14.945,0,0,2.043,12,1141197,33027148,67.1912,0.7701,1.19,0.743,TX
13484,12/31/2023,INDL,SNGX,834223604,SOLIGENIX INC,228.194,0,0,2.522,-6.143,-6.141,-6.143,0.735,7.758,0.001,2.372,-7.691,-0.923,3.664,0.955,14,812796,186754345.6,7.8582,0.7572,8.098499595,0.38,NJ
13498,11/30/2023,INDL,CCL,143658300,CARNIVAL CORPORATION & PLC,16712,3284,3284,6882,-30,-74,-30,14316,1262,,2238,4327,-197,-5089,373,11,815097,8810806116,,15.06,19.55,7.53,FL
13506,12/31/2023,INDL,0189A,74799Q003,QVC INC,10901,182,182,4250,226,211,181,6273,,0.01,451,1034,-53,-1088,434,0,1254699,,,,,,PA
13520,12/31/2023,INDL,CMCL,G1757E113,CALEDONIA MINING CORP PLC,148.228,30.393,30.393,239.715,-1.24,-0.618,-4.82,90.782,18.632,8.603,18.572,39.659,0,3.931,-2.152,12,766011,17126122,234.0936,12.2,17.58,9.48,
13543,12/31/2023,INDL,RBTK,98953P105,ZHEN DING RESOURCES INC,14.365,0,0,-7.322,-0.965,-1.247,-1.027,0,110.527,0.0001,3.439,-0.749,0,0.067,0.678,19,1594204,,230.333,2.08,6,3.11,QC
13558,12/31/2023,INDL,PRMLF,74061L104,PREMIUM RESOURCES LTD,,22.398,22.398,50.752,-15.407,-13.318,-15.407,0,128.51,0.847,1.611,-10.3,-1.039,48.707,2.679,19,795800,47767826,188.1193,1.26,2.23,0.92,ON
13561,12/31/2023,INDL,MBI,55262C100,MBIA INC,2515,0,0,-1657,-347,-491,-347,280,48.208,1,100,,5,-542,67,11,814585,134846425,311.2816,6.12,14.37,5.78,NY
13561,12/31/2023,FS,MBI,55262C100,MBIA INC,2515,,,-1657,,,,,,,100,,,,,11,814585,134846425,311.2816,6.12,14.37,5.78,NY
